frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
616,204,452.78589515157944 391.1339505508741 1066.9777250633324 858.1117138647605,634.888671875 569.38525390625 800.9625244140625 632.5526123046875,0.6693217158317566,9LL3NA,0.5
617,204,467.0277065829823 393.2002803934553 1069.8194505776905 855.2061849585517,647.5599975585938 569.3358154296875 803.4041748046875 632.66552734375,0.6490705013275146,9LL3NA,0.4803889727776777
618,204,481.15215661537053 395.4023924539061 1073.0678437318006 852.9601113669412,661.7337646484375 567.64501953125 819.4132080078125 633.7750244140625,0.6226688027381897,94L3NA,0.5
619,204,487.7427231252063 397.5263054850335 1072.8374198035133 851.0123682211917,675.111572265625 573.0902099609375 809.297119140625 630.1319580078125,0.591310977935791,9LL3NA,0.5
620,204,505.31984075053214 399.5215944223871 1078.6760066545878 847.3810491290394,688.2840576171875 567.4781494140625 839.99072265625 633.924072265625,0.6035533547401428,9LL3NA,0.34128976497611363
621,204,521.2959656965579 401.18304264931135 1084.0965666830493 843.1801628971077,696.0431518554688 566.2197875976562 843.2252197265625 633.412353515625,0.5308653712272644,BL43NA,0.3641414902738591
622,204,514.0728953586811 401.8070723953257 1081.8156823196098 837.658535778292,709.1434936523438 561.929443359375 857.4993896484375 630.6414794921875,0.5471994280815125,9LL3NA,0.4025720565915071
623,204,539.5240336638662 406.3115441737817 1095.6494249628026 837.1429369481704,717.903076171875 566.9521484375 862.679443359375 629.3292236328125,0.5930290222167969,9LL3NA,0.2929303826881744
624,204,536.6630390146631 408.50442927798355 1100.704649792404 834.9332430543138,723.4080200195312 564.972412109375 873.20361328125 630.6157836914062,0.4574761390686035,9LL3NA,0.16440980967356736
625,204,564.2458703246106 410.4736119490102 1135.8595770950405 831.8997102674499,738.3619384765625 563.3814697265625 880.068359375 637.480224609375,0.5522487163543701,9LL3NA,0.5
626,204,583.8012376172624 411.17112353785916 1161.311051456805 827.803333077394,746.0286865234375 561.9058227539062 893.429931640625 633.3087158203125,0.49509063363075256,9LL3NA,0.5
627,204,598.6637948325913 413.79935593679505 1175.7640912533207 825.9310901544891,756.1185302734375 569.33642578125 899.2637329101562 633.73046875,0.6539497971534729,9LL3NA,0.2991269725948506
628,204,612.6184030125792 415.25286787450557 1183.8873445821107 822.9511969318932,769.6763305664062 571.0374755859375 908.3208618164062 628.9921875,0.647483766078949,9LZ3NA,0.4415411916658952
